ssid,rssi,mac,lat,lng,alt,hdop,sat,calidad,timestamp,color
FIIS_Estudiantes,-84,00:42:68:95:86:F1,-12.016358,-77.051041,126.0,0.95,11,Mala,2025-06-21T14:17:34.032344,red
FIIS_Docentes,-85,00:42:68:95:86:F0,-12.016358,-77.051041,126.0,0.95,11,Mala,2025-06-21T14:17:34.817099,red
DIRECT-19-HP M227f LaserJet,-85,EE:5C:68:4F:F7:19,-12.016358,-77.051041,126.0,0.95,11,Mala,2025-06-21T14:17:36.133350,red
WI_FIIS,-86,00:42:68:95:86:F3,-12.016358,-77.051041,126.0,0.95,11,Mala,2025-06-21T14:17:36.621728,red
SmartCity 2.4GHz,-86,60:E3:27:3A:31:B1,-12.016358,-77.051041,126.0,0.95,11,Mala,2025-06-21T14:17:37.321633,red
WI_FIIS,-86,00:81:C4:F0:36:F3,-12.016358,-77.051041,126.0,0.95,11,Mala,2025-06-21T14:17:39.343236,red
FIIS_Docentes,-90,00:81:C4:F0:36:F0,-12.016358,-77.051041,126.0,0.95,11,Mala,2025-06-21T14:17:39.744277,red
FIIS_Estudiantes,-90,00:81:C4:F0:36:F1,-12.016358,-77.051041,126.0,0.95,11,Mala,2025-06-21T14:17:40.632104,red
EMERSON,-91,F8:79:28:84:58:1E,-12.016358,-77.051041,126.0,0.95,11,Mala,2025-06-21T14:17:43.126103,red
HONOR Magic5 Lite 5G,-92,32:46:C0:DE:50:A7,-12.016358,-77.051041,126.0,0.95,11,Mala,2025-06-21T14:17:43.838499,red
FIIS_Estudiantes,-92,00:42:68:7B:CE:51,-12.016358,-77.051041,126.0,0.95,11,Mala,2025-06-21T14:17:44.244023,red
WI_FIIS,-93,00:81:C4:FB:A2:D3,-12.016358,-77.051041,126.0,0.95,11,Mala,2025-06-21T14:17:44.837400,red
Redmi 12,-94,B6:97:AC:0E:E2:24,-12.016358,-77.051041,126.0,0.95,11,Mala,2025-06-21T14:17:45.638551,red
WI_FIIS,-95,00:42:68:7B:CE:53,-12.016358,-77.051041,126.0,0.95,11,Mala,2025-06-21T14:17:46.099996,red
FIIS_Docentes,-95,00:81:C4:FB:A2:D0,-12.016358,-77.051041,126.0,0.95,11,Mala,2025-06-21T14:17:47.941172,red
HP4E04C5,-96,F8:D0:27:AB:67:35,-12.016358,-77.051041,126.0,0.95,11,Mala,2025-06-21T14:17:49.009929,red
FIIS_Docentes,-98,00:42:68:7B:CE:50,-12.016358,-77.051041,126.0,0.95,11,Mala,2025-06-21T14:17:49.931211,red
TeleMallqui,-37,B2:A6:11:D3:04:F9,-12.016485,-77.050903,126.3,0.93,10,Buena,2025-06-21T14:17:54.657294,green
WI_FIIS,-79,00:42:68:7B:CE:53,-12.016485,-77.050903,126.3,0.93,10,Intermedia,2025-06-21T14:17:56.933291,orange
FIIS_Docentes,-80,00:42:68:7B:CE:50,-12.016485,-77.050903,126.3,0.93,10,Mala,2025-06-21T14:17:57.704963,red
Redmi 12,-81,B6:97:AC:0E:E2:24,-12.016485,-77.050903,126.3,0.93,10,Mala,2025-06-21T14:17:59.026734,red
FIIS_Estudiantes,-81,00:42:68:7B:CE:51,-12.016485,-77.050903,126.3,0.93,10,Mala,2025-06-21T14:18:01.664567,red
HONOR Magic5 Lite 5G,-84,32:46:C0:DE:50:A7,-12.016485,-77.050903,126.3,0.93,10,Mala,2025-06-21T14:18:02.227828,red
hw_manage_2e20,-85,C0:3F:DD:06:2E:2B,-12.016485,-77.050903,126.3,0.93,10,Mala,2025-06-21T14:18:03.040657,red
WI_FIIS,-86,00:42:68:95:86:F3,-12.016485,-77.050903,126.3,0.93,10,Mala,2025-06-21T14:18:06.504312,red
FIIS_Docentes,-86,00:42:68:7B:CE:F0,-12.016485,-77.050903,126.3,0.93,10,Mala,2025-06-21T14:18:07.436144,red
FIIS_Estudiantes,-86,00:42:68:7B:CE:F1,-12.016485,-77.050903,126.3,0.93,10,Mala,2025-06-21T14:18:08.510604,red
WI_FIIS,-86,00:42:68:7B:CE:F3,-12.016485,-77.050903,126.3,0.93,10,Mala,2025-06-21T14:18:10.051774,red
FIIS_Estudiantes,-86,68:86:A7:47:7B:91,-12.016485,-77.050903,126.3,0.93,10,Mala,2025-06-21T14:18:11.908768,red
FIIS_Docentes,-87,00:42:68:95:86:F0,-12.016485,-77.050903,126.3,0.93,10,Mala,2025-06-21T14:18:15.128658,red
FIIS_Docentes,-87,00:81:C4:F0:36:F0,-12.016485,-77.050903,126.3,0.93,10,Mala,2025-06-21T14:18:16.231952,red
WI_FIIS,-87,68:86:A7:47:7B:93,-12.016485,-77.050903,126.3,0.93,10,Mala,2025-06-21T14:18:18.619624,red
